City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Pangai,TO,2022-02-03 08:55:54,-19.8,-174.35,81.14,77,24,14.07
252,Vershino-Darasunskiy,RU,2022-02-03 08:55:55,52.35,115.5167,-9.36,92,8,2.91
253,Bow Island,CA,2022-02-03 08:55:56,49.8668,-111.3684,7.18,74,76,0.0
254,Mantua,IT,2022-02-03 08:55:57,45.1667,10.7833,49.73,83,13,9.75
255,Pevek,RU,2022-02-03 08:55:58,69.7008,170.3133,-7.71,75,1,4.0
256,Vila Franca Do Campo,PT,2022-02-03 08:55:58,37.7167,-25.4333,59.41,84,41,8.9
257,Nelson Bay,AU,2022-02-03 08:55:59,-32.7167,152.15,67.75,91,81,4.0
258,Lebu,CL,2022-02-03 08:56:00,-37.6167,-73.65,56.59,95,16,8.99
259,Vredendal,ZA,2022-02-03 08:56:02,-31.6683,18.5012,77.25,47,13,10.54
260,Llanes,ES,2022-02-03 08:56:03,43.4198,-4.7549,56.89,63,100,1.61
261,Grand Gaube,MU,2022-02-03 08:56:04,-20.0064,57.6608,79.38,89,100,17.0
262,Rantauprapat,ID,2022-02-03 08:56:05,2.1,99.8333,82.83,83,93,1.83
263,Thongwa,MM,2022-02-03 08:56:05,16.7619,96.5278,89.76,21,5,1.86
264,Bonthe,SL,2022-02-03 08:56:06,7.5264,-12.505,79.27,76,24,4.61
265,Laguna,US,2022-02-03 08:56:07,38.421,-121.4238,51.89,63,0,1.01
266,Greenfield,US,2022-02-03 08:56:09,42.9614,-88.0126,15.48,61,100,5.99
267,Prince Rupert,CA,2022-02-03 08:56:10,54.3161,-130.3201,39.29,100,100,4.61
268,Vostok,RU,2022-02-03 08:56:11,46.4856,135.8833,-2.88,99,100,4.85
269,Winslow,US,2022-02-03 08:56:12,35.0242,-110.6974,18.3,24,0,12.37
270,Nokaneng,BW,2022-02-03 08:56:13,-19.6667,22.2667,85.91,46,6,5.68
271,Tibagi,BR,2022-02-03 08:52:18,-24.5094,-50.4136,65.93,98,99,2.1
272,Chernyshevskiy,RU,2022-02-03 08:56:14,63.0128,112.4714,-8.18,100,100,1.48
273,Madera,US,2022-02-03 08:56:14,37.1666,-119.8343,46.06,87,0,3.94
274,Sabzevar,IR,2022-02-03 08:56:15,36.2126,57.6819,47.48,46,0,0.0
275,Benjamin Constant,BR,2022-02-03 08:53:26,-4.3831,-70.0311,73.53,98,100,1.86
276,Komsomolskiy,UZ,2022-02-03 08:56:16,40.4272,71.7189,45.82,57,7,2.3
277,Taltal,CL,2022-02-03 08:56:17,-25.4,-70.4833,64.38,80,8,0.54
278,Sinnamary,GF,2022-02-03 08:56:18,5.3833,-52.95,75.24,89,69,7.58
279,Gornopravdinsk,RU,2022-02-03 08:57:19,60.05,69.9,20.93,92,98,7.54
280,Kumla,SE,2022-02-03 08:57:20,59.1277,15.1434,25.68,93,100,6.91
281,Harper,LR,2022-02-03 08:57:21,4.375,-7.7169,80.44,75,28,3.74
